ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2012,PATOS,FRANCISCA GOMES ARAUJO MOTTA,PMDB,15,PRB / PT / PTB / PMDB / PSC / PR / PHS / PMN / PPL / PC do B / PT do B
2012,PIANCÓ,FRANCISCO SALES DE LIMA LACERDA,DEM,25,PP / PT / PTB / PMDB / PTN / PSC / PPS / DEM / PRTB / PV / PSDB / PC do B / PT do B
2012,AREIAL,CICERO PEDRO MEDA DE ALMEIDA,PMDB,15,PP / PTB / PMDB / PSC
2012,FAGUNDES,JOSÉ PEDRO DA SILVA,PSB,40,PRB / PTB / PSL / DEM / PSB
2012,SANTO ANDRÉ,SILVANA FERNANDES MARINHO DE ARAUJO,PT do B,70,PRB / PP / PT / PMDB / PSC / PR / PHS / PT do B
2012,SÃO BENTO,GEMILTON SOUZA DA SILVA,PR,22,PDT / PT / PTB / PSL / PSC / PR / PPS / DEM / PSB / PSDB / PSD / PT do B
2012,SÃO JOÃO DO CARIRI,VALTER MARCONE MEDEIROS,PR,22,PT / PR / DEM
2012,AROEIRAS,MYLTON DOMINGUES DE AGUIAR MARQUES,PSDB,45,PTB / PPS / PSB / PSDB / PSD
2012,POMBAL,YASNAIA POLLYANNA WERTON DUTRA,PT,13,PDT / PT / PSL / PR / PMN / PSB / PV / PSDB
2012,SÃO BENTINHO,GIOVANA LEITE CAVALCANTI OLIMPIO,PSDB,45,PTB / PMDB / PSDB
2012,PILÕEZINHOS,ROSINALDO LUCENA MENDES,PMDB,15,PTB / PMDB
2012,AGUIAR,MANOEL BATISTA GUEDES FILHO,PP,11,PRB / PP / PT / PMDB / PSC / PR / PPS / PSDC / PHS / PMN / PSB / PSDB / PC do B / PT do B
2012,SANTA CECÍLIA,DANIEL LOPES DE MENDONÇA,PSB,40,PTN / PR / DEM / PSB / PRP / PSDB / PSD
2012,QUIXABA,JÚLIO CEZAR DE MEDEIROS BATISTA,PMDB,15,PMDB / PSDB
2012,FREI MARTINHO,AGUIFAILDO LIRA DANTAS,PSB,40,PMDB / PPS / DEM / PSB / PSDB / PSD
2012,PITIMBU,LEONARDO JOSÉ BARBALHO CARNEIRO,PSD,55,PTB / PPS / DEM / PSDC / PHS / PSD
2012,IMACULADA,ALDO LUSTOSA DA SILVA,PSD,55,PP / PDT / PTB / PMDB / PR / PSD
2012,POÇO DANTAS,JOSE GURGEL SOBRINHO,PSB,40,PT / PMDB / PSB
2012,SALGADINHO,DEBORA CRISTIANE FARIAS MORAIS,PSDB,45,PTB / PMDB / DEM / PSB / PSDB / PSD
2012,SÃO JOSÉ DA LAGOA TAPADA,EVILASIO FORMIGA LUCENA NETO,DEM,25,PT / PR / DEM / PSB / PSD
