ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2012,BELÉM DO BREJO DO CRUZ,GERMANO LACERDA DA CUNHA,PSC,20,PT / PMDB / PSC / PR / PV
2012,BOA VISTA,EDVAN PEREIRA LEITE,PSDB,45,PDT / PTB / PR / DEM / PRTB / PSB / PSDB
2012,SERRA GRANDE,JAIRO HALLEY DE MOURA CRUZ,PSB,40,PTB / PSC / DEM / PSB / PSDB / PC do B
2012,BARRA DE SÃO MIGUEL,LUZINECTT TEIXEIRA LOPES,PMDB,15,PT / PMDB / PSB
2012,BAYEUX,EXPEDITO PEREIRA DE SOUZA,PSB,40,PRB / PTB / PSL / PR / PPS / PHS / PSB / PV / PSD / PC do B
2012,BERNARDINO BATISTA,GERVAZIO GOMES DOS SANTOS,PMDB,15,PMDB / PMN / PSD
2012,SÃO JOSÉ DO SABUGI,IRACEMA NELIS DE ARAUJO DANTAS,PSDB,45,DEM / PSB / PSDB
2012,JUNCO DO SERIDÓ,COSMO SIMOES DE MEDEIROS,PSD,55,PP / PT / PMDB / PSD
2012,SÃO JOSÉ DOS RAMOS,EDUARDO GINDRE CAXIAS DE LIMA,PMDB,15,PT / PMDB
2012,JURU,LUIZ GALVÃO DA SILVA,PSB,40,PT / PSB / PSD
2012,MALTA,MANOEL BENEDITO DE LUCENA FILHO,PMDB,15,PT / PTB / PMDB / PPS / PMN
2012,SOSSÊGO,CARLOS ANTONIO ALVES DA SILVA,PSD,55,PDT / PTB / PMDB / PPS / PSD
2012,SOUSA,ANDRE AVELINO DE PAIVA GADELHA NETO,PMDB,15,PT / PMDB / PSC / PR / PRTB / PMN / PTC
2012,TAVARES,AILTON NIXON SUASSUNA PORTO,PMDB,15,PRB / PDT / PMDB / PC do B
2012,MAMANGUAPE,EDUARDO CARNEIRO DE BRITO,PR,22,PP / PSC / PR / PSDB / PSD
2012,MARCAÇÃO,ADRIANO DE OLIVEIRA BARRETO,PSB,40,PTB / DEM / PSB / PSD
2012,MARI,MARCOS AURELIO MARTINS DE PAIVA,PSB,40,PP / DEM / PSB / PV / PSD
2012,MATARACA,OLIMPIO DE ALENCAR ARAUJO BEZERRA,PSDB,45,PT / PPS / PSB / PSDB
2012,VIEIRÓPOLIS,ANTONIO CEZAR BRAGA,PTB,14,PT / PTB / PRTB / PSD
2012,CAAPORÃ,JOÃO BATISTA SOARES,PMDB,15,PRB / PT / PTB / PMDB / PSC / PR / PHS / PV / PPL / PC do B / PT do B
2012,CABEDELO,JOSE MARIA DE LUCENA FILHO,PMDB,15,PRB / PP / PT / PTB / PMDB / PSL / PSC / PR / DEM / PSDC / PRTB / PHS / PTC / PV / PRP / PSDB / PPL / PC do B
2012,SERTÃOZINHO,MARCIA MOUSINHO ARAUJO,PMDB,15,PT / PMDB
2012,SÃO JOSÉ DE PRINCESA,LUIZ FERREIRA DE MORAIS,PMDB,15,PMDB / PC do B
2012,SÃO JOSÉ DO BONFIM,ROSALBA GOMES DA NOBREGA,PMDB,15,PRB / PT / PTB / PMDB
2012,SÃO VICENTE DO SERIDÓ,MARIA GRACIETE DO NASCIMENTO DANTAS,DEM,25,PRB / PP / PSL / PSC / PPS / DEM / PHS / PSB / PV / PSDB / PSD / PC do B / PT do B
2012,MARIZÓPOLIS,JOSÉ VIEIRA DA SILVA,PTB,14,PP / PTB / PMDB / PTN / PR
2012,CACIMBA DE AREIA,ORISMAN FERREIRA DA NÓBREGA,PSDB,45,PT / PR / DEM / PSB / PSDB
2012,SOBRADO,GEORGE JOSÉ PORCIUNCULA PEREIRA COELHO,PSDB,45,PDT / PT / PR / PSDB
2012,SÃO JOSÉ DO BREJO DO CRUZ,ALDINEIDE SARAIVA DE OLIVEIRA,PMDB,15,PP / PMDB / PSB
2012,SANTA INÊS,JOAO NILDO LEITE,PDT,12,PP / PDT / PSDB
2012,BELÉM,EDGARD GAMA,PMDB,15,PT / PMDB / PR / PC do B
2012,LOGRADOURO,CELIA MARIA DE QUEIROZ CARVALHO,PMDB,15,PMDB / DEM
2012,MANAÍRA,JOSE SIMAO DE SOUSA,PSDB,45,PT / PMDB / PSL / PSDB
2012,OLHO D'ÁGUA,FRANCISCO DE ASSIS CARVALHO,PSDB,45,PDT / PTB / DEM / PSB / PSDB
2012,BOQUEIRÃO,JOÃO PAULO BARBOSA LEAL SEGUNDO,PSD,55,PMDB / PSL / PTN / PHS / PRP / PSD / PC do B / PT do B
2012,MATO GROSSO,RAELLYSON RODRIGO OLIVEIRA MONTEIRO,DEM,25,PDT / PTB / DEM / PSB / PSD
2012,SÃO SEBASTIÃO DE LAGOA DE ROÇA,MARIA DO SOCORRO CARDOSO,PMDB,15,PDT / PMDB
2012,SERRARIA,SEVERINO FERREIRA DA SILVA,PSDB,45,PDT / PT / PTB / PMDB / PSL / PSC / PR / PSDB / PSD
2012,BONITO DE SANTA FÉ,ALDERI DE OLIVEIRA CAJU,PMDB,15,PTB / PMDB / PR / PV
2012,NOVA PALMEIRA,JOSE FELIX DE LIMA FILHO,PR,22,PP / PR
2012,CAPIM,EDVALDO CARLOS FREIRE JUNIOR,PMDB,15,PT / PMDB / PSL / PR / DEM / PV
2012,CAJAZEIRAS,FRANCISCA DENISE ALBUQUERQUE DE OLIVEIRA,PSB,40,PRB / PP / PDT / PSL / PTN / PR / PPS / DEM / PMN / PSB / PV / PRP / PSDB / PSD
2012,BOM SUCESSO,IVALDO WASHINGTON DE LIMA,PSC,20,PT / PMDB / PSC / PPS / PMN / PSDB / PT do B
2012,BREJO DO CRUZ,ANA MARIA DUTRA DA SILVA,PR,22,PT / PMDB / PR / DEM / PV
2012,BARRA DE SANTA ROSA,FABIAN DUTRA SILVA,PSB,40,PRB / PP / PT / PMDB / PSB
2012,LAGOA,MAGNO DEMYS DE OLIVEIRA BORGES,PTB,14,PP / PT / PTB / PSC / PR / DEM / PSD
2012,BARRA DE SANTANA,JOVENTINO ERNESTO DO REGO NETO,PSC,20,PDT / PT / PMDB / PSC
